month,city,market,month_on_month,yoy,year_avg,methodology,source_url
2020-06,北京,secondhand,100.7,102.2,150.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-06,深圳,secondhand,101.9,114.3,176.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-06,重庆,secondhand,100.3,97.7,126.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-07,上海,secondhand,100.5,103.3,143.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-07,北京,secondhand,100.0,102.5,150.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-07,深圳,secondhand,101.2,114.9,178.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-07,重庆,secondhand,100.1,97.7,126.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-08,上海,secondhand,100.8,104.1,144.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-08,北京,secondhand,100.7,103.6,151.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-08,深圳,secondhand,101.1,115.9,179.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-08,重庆,secondhand,100.5,98.6,127.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-09,上海,secondhand,101.0,104.6,146.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-09,北京,secondhand,100.4,104.5,151.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-09,深圳,secondhand,101.1,115.7,182.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-09,重庆,secondhand,100.4,99.5,127.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-10,上海,secondhand,100.5,105.2,146.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-10,北京,secondhand,100.4,105.4,152.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-10,深圳,secondhand,100.9,115.5,183.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-10,重庆,secondhand,99.7,99.4,127.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-11,上海,secondhand,100.3,105.5,147.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-11,北京,secondhand,100.5,106.4,153.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-11,深圳,secondhand,100.6,114.6,184.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-11,重庆,secondhand,100.3,99.3,127.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-12,上海,secondhand,100.6,106.3,148.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-12,北京,secondhand,100.5,106.3,153.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-12,深圳,secondhand,100.5,114.1,185.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-12,重庆,secondhand,99.9,99.4,127.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-01,上海,secondhand,101.3,107.6,104.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-01,北京,secondhand,100.9,106.9,103.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-01,深圳,secondhand,101.7,115.3,107.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-01,重庆,secondhand,100.3,100.1,100.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2021-02,上海,secondhand,101.3,108.8,105.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
